ticker,date,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_12,ema_26,macd_line,macd_signal,macd_histogram,rsi_14,bb_middle,bb_upper,bb_lower,bb_width,volume_sma_20,volume_ratio,daily_return,volatility_20d,bb_position,golden_cross,death_cross,support_20d,resistance_20d
VNM,2023-01-03,62968.0,63400.0,62474.0,62710.0,2099433,,,,62710.0,62710.0,0.0,0.0,0.0,,,,,,,,,,,0,0,,
VNM,2023-01-04,61697.0,61788.0,61451.0,61492.0,906522,,,,62050.0,62078.0,-28.0,-15.56,-12.44,,,,,,,,-0.019423,,,0,0,,
VNM,2023-01-05,61283.0,61534.0,61020.0,61488.0,4341089,,,,61831.0,61866.0,-35.0,-23.52,-11.48,,,,,,,,-6.5e-05,,,0,0,,
VNM,2023-01-09,62587.0,62895.0,61962.0,62758.0,6032038,,,,62123.0,62115.0,8.0,-12.85,20.85,,,,,,,,0.020654,,,0,0,,
VNM,2023-01-09,61877.0,61892.0,61744.0,61884.0,8560771,,,,62058.0,62062.0,-4.0,-10.21,6.21,,,,,,,,-0.013927,,,0,0,,
VNM,2023-01-10,59384.0,59620.0,59356.0,59551.0,957759,,,,61449.0,61559.0,-110.0,-37.26,-72.74,,,,,,,,-0.0377,,,0,0,,
VNM,2023-01-11,58935.0,59578.0,58878.0,59140.0,8341872,,,,60934.0,61129.0,-195.0,-77.18,-117.82,,,,,,,,-0.006902,,,0,0,,
VNM,2023-01-12,58469.0,59124.0,57525.0,58305.0,4998320,,,,60385.0,60674.0,-289.0,-128.09,-160.91,,,,,,,,-0.014119,,,0,0,,
VNM,2023-01-16,56037.0,56273.0,55813.0,56132.0,2139852,,,,59544.0,60000.0,-456.0,-203.84,-252.16,,,,,,,,-0.03727,,,0,0,,
VNM,2023-01-16,56713.0,57149.0,56208.0,56439.0,2808104,,,,58955.0,59509.0,-554.0,-282.29,-271.71,,,,,,,,0.005469,,,0,0,,
VNM,2023-01-17,56426.0,56769.0,56350.0,56673.0,11137290,,,,58538.0,59141.0,-603.0,-352.46,-250.54,,,,,,,,0.004146,,,0,0,,
VNM,2023-01-18,57881.0,57936.0,57642.0,57818.0,6517900,,,,58410.0,58979.0,-569.0,-398.96,-170.04,,,,,,,,0.020204,,,0,0,,
VNM,2023-01-19,57186.0,57562.0,56498.0,56764.0,7598820,,,,58124.0,58719.0,-595.0,-440.45,-154.55,,,,,,,,-0.01823,,,0,0,,
VNM,2023-01-23,55221.0,55291.0,55090.0,55280.0,4204883,,,,57640.0,58333.0,-693.0,-493.29,-199.71,22.16,,,,,,,-0.026143,,,0,0,,
VNM,2023-01-23,55588.0,56166.0,54507.0,54934.0,6829218,,,,57187.0,57965.0,-778.0,-552.31,-225.69,21.6,,,,,,,-0.006259,,,0,0,,
VNM,2023-01-24,54376.0,55425.0,54188.0,54886.0,15146392,,,,56806.0,57643.0,-837.0,-610.89,-226.11,23.61,,,,,,,-0.000874,,,0,0,,
VNM,2023-01-25,55767.0,56023.0,55649.0,55785.0,9537696,,,,56639.0,57454.0,-815.0,-652.65,-162.35,28.74,,,,,,,0.016379,,,0,0,,
VNM,2023-01-26,56995.0,57255.0,56682.0,57171.0,4479977,,,,56725.0,57426.0,-701.0,-662.5,-38.5,29.35,,,,,,,0.024845,,,0,0,,
VNM,2023-01-30,58476.0,58913.0,57902.0,58397.0,5959034,,,,56994.0,57520.0,-526.0,-634.8,108.8,37.44,,,,,,,0.021444,,,0,0,,
VNM,2023-01-30,58813.0,59489.0,58567.0,58709.0,2156119,58316.0,,,57267.0,57632.0,-365.0,-580.21,215.21,46.45,58316.0,63508.0,53124.0,0.1781,5737654.0,0.38,0.005343,,0.5378,0,0,54188.0,63400.0
VNM,2023-01-31,59877.0,60302.0,59518.0,59547.0,9363273,58158.0,,,57629.0,57809.0,-180.0,-499.42,319.42,51.66,58158.0,62965.0,53351.0,0.1653,6100846.0,1.53,0.014274,0.019233,0.6445,0,0,54188.0,62895.0
VNM,2023-02-01,59073.0,59558.0,58930.0,58941.0,6242303,58030.0,,,57836.0,57912.0,-76.0,-414.11,338.11,52.64,58030.0,62594.0,53466.0,0.1573,6367636.0,0.98,-0.010177,0.01891,0.5998,0,0,54188.0,62895.0
VNM,2023-02-02,59409.0,59500.0,58942.0,59146.0,5548260,57913.0,,,58042.0,58022.0,20.0,-326.77,346.77,64.94,57913.0,62216.0,53610.0,0.1486,6427994.0,0.86,0.003478,0.018946,0.6433,0,0,54188.0,62895.0
VNM,2023-02-06,57798.0,58331.0,57795.0,57999.0,12559954,57675.0,,,58035.0,58020.0,15.0,-258.09,273.09,57.14,57675.0,61327.0,54023.0,0.1266,6754390.0,1.86,-0.019393,0.018563,0.5444,0,0,54188.0,61892.0
VNM,2023-02-06,57790.0,58107.0,57239.0,58097.0,11559782,57486.0,,,58045.0,58027.0,18.0,-202.67,220.67,56.6,57486.0,60568.0,54404.0,0.1072,6904340.0,1.67,0.00169,0.018442,0.5991,0,0,54188.0,60302.0
VNM,2023-02-07,58347.0,58539.0,58056.0,58220.0,10922529,57419.0,,,58072.0,58043.0,29.0,-156.19,185.19,52.06,57419.0,60367.0,54471.0,0.1027,7402579.0,1.48,0.002117,0.01655,0.6359,0,0,54188.0,60302.0
VNM,2023-02-08,59482.0,60281.0,59434.0,59983.0,4634822,57461.0,,,58369.0,58208.0,161.0,-92.6,253.6,65.36,57461.0,60534.0,54388.0,0.107,7217226.0,0.64,0.030282,0.017886,0.9103,0,0,54188.0,60302.0
VNM,2023-02-09,59728.0,59810.0,59567.0,59788.0,5548214,57535.0,,,58590.0,58340.0,250.0,-23.95,273.95,74.52,57535.0,60762.0,54308.0,0.1122,7244721.0,0.77,-0.003251,0.017569,0.8491,0,0,54188.0,60302.0
